Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.535,672.709,1.449,260,-1.655
SokobanLearning,0.527,674.902,1.444,260,-1.655
SokobanLearning,0.532,677.047,1.400,257,-1.655
SokobanLearning,0.532,679.325,1.524,260,-1.656
SokobanLearning,0.525,681.595,1.535,258,-1.656
SokobanLearning,0.525,683.690,1.372,260,-1.672
SokobanLearning,0.528,685.819,1.398,257,-1.671
SokobanLearning,0.529,688.009,1.440,260,-1.671
SokobanLearning,0.530,690.172,1.419,260,-1.671
SokobanLearning,0.523,692.280,1.384,258,-1.671
SokobanLearning,0.524,694.423,1.413,262,-1.671
SokobanLearning,0.530,696.546,1.391,260,-1.671
SokobanLearning,0.522,698.683,1.431,260,-1.672
SokobanLearning,0.528,700.817,1.394,262,-1.672
SokobanLearning,0.530,702.979,1.421,260,-1.672
SokobanLearning,0.528,705.143,1.424,260,-1.673
SokobanLearning,0.523,707.302,1.416,262,-1.674
SokobanLearning,0.526,709.427,1.394,260,-1.674
SokobanLearning,0.525,711.582,1.410,260,-1.675
SokobanLearning,0.531,713.772,1.461,261,-1.674
SokobanLearning,0.528,715.967,1.444,262,-1.675
SokobanLearning,0.530,718.139,1.423,262,-1.674
SokobanLearning,0.526,720.297,1.425,258,-1.674
SokobanLearning,0.524,722.468,1.434,262,-1.674
SokobanLearning,0.530,724.739,1.523,260,-1.675
SokobanLearning,0.531,727.028,1.539,260,-1.675
SokobanLearning,0.525,729.297,1.525,262,-1.675
SokobanLearning,0.527,731.491,1.490,260,-1.676
SokobanLearning,0.527,733.792,1.543,262,-1.675
SokobanLearning,0.529,736.005,1.490,260,-1.676
SokobanLearning,0.530,738.309,1.553,262,-1.677
SokobanLearning,0.529,740.578,1.519,260,-1.677
SokobanLearning,0.528,742.812,1.503,260,-1.678
SokobanLearning,0.532,745.109,1.546,262,-1.678
SokobanLearning,0.527,747.371,1.513,260,-1.679
SokobanLearning,0.526,749.624,1.530,262,-1.678
SokobanLearning,0.545,751.913,1.537,257,-1.678
SokobanLearning,0.539,754.252,1.581,261,-1.678
SokobanLearning,0.526,756.541,1.546,260,-1.679
SokobanLearning,0.530,758.838,1.543,260,-1.679
SokobanLearning,0.530,761.132,1.547,262,-1.680
SokobanLearning,0.532,763.374,1.497,262,-1.679
SokobanLearning,0.528,765.654,1.526,260,-1.679
SokobanLearning,0.528,767.906,1.508,260,-1.679
SokobanLearning,0.532,770.178,1.509,262,-1.680
SokobanLearning,0.529,772.443,1.513,260,-1.680
SokobanLearning,0.525,774.635,1.474,260,-1.681
SokobanLearning,0.527,776.862,1.499,262,-1.682
SokobanLearning,0.528,779.102,1.486,260,-1.682
SokobanLearning,0.530,781.363,1.504,260,-1.682
SokobanLearning,0.529,783.616,1.519,261,-1.681
SokobanLearning,0.521,785.886,1.532,262,-1.682
SokobanLearning,0.524,788.027,1.401,258,-1.682
SokobanLearning,0.523,790.208,1.443,260,-1.682
SokobanLearning,0.523,792.368,1.430,258,-1.682
SokobanLearning,0.525,794.548,1.438,260,-1.682
SokobanLearning,0.534,796.740,1.440,260,-1.683
SokobanLearning,0.523,798.921,1.466,260,-1.683
SokobanLearning,0.523,801.102,1.445,262,-1.684
SokobanLearning,0.532,803.269,1.422,259,-1.683
SokobanLearning,0.520,805.469,1.464,260,-1.683
SokobanLearning,0.521,807.635,1.445,260,-1.684
SokobanLearning,0.523,809.845,1.458,262,-1.685
SokobanLearning,0.522,812.022,1.432,260,-1.685
SokobanLearning,0.531,814.289,1.516,260,-1.685
SokobanLearning,0.530,816.520,1.513,258,-1.685
SokobanLearning,0.530,818.805,1.534,259,-1.683
SokobanLearning,0.527,821.074,1.519,262,-1.684
SokobanLearning,0.530,823.344,1.522,262,-1.685
SokobanLearning,0.532,825.628,1.523,262,-1.685
SokobanLearning,0.525,827.866,1.513,260,-1.685
SokobanLearning,0.529,830.139,1.518,260,-1.685
SokobanLearning,0.530,832.432,1.534,262,-1.686
